rodzina,accuracy_srednia,accuracy_max,balanced_accuracy_srednia,balanced_accuracy_max,f1_macro_srednia,f1_macro_max
MLP,0.5991006494147372,0.6190591579321372,0.3204762471607312,0.34982050479626625,0.329175446212335,0.3582369609386359
RandomForest,0.6728771244152307,0.693708888494108,0.3377414774487821,0.36495912425591903,0.36683801666210325,0.39990868119286993
