model,rodzina,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_macro_mean,f1_macro_std
mlp_64,MLP,0.5679562977438267,0.008155354397206752,0.26503591195498566,0.007775642709386174,0.27442744207885117,0.00848088227946465
mlp_128_64,MLP,0.6102864925682476,0.014410256534362603,0.3465723247309417,0.016593023991564176,0.3582369609386359,0.019969964399259802
mlp_128_64_32,MLP,0.6190591579321372,0.013716385574142165,0.34982050479626625,0.01147729905014437,0.35486193561951807,0.01128447959628904
rf_100,RandomForest,0.6386040149227216,0.007312222348097892,0.29231055306254383,0.008274704845319693,0.31091637211870404,0.012013380302779765
rf_200,RandomForest,0.6863184698288625,0.006233152914961168,0.3559547550278833,0.007772914096223132,0.3896889966747359,0.012002078944906297
rf_300,RandomForest,0.693708888494108,0.013436394225219852,0.36495912425591903,0.011277518649265456,0.39990868119286993,0.014863922742291912
