model,accuracy,precision_macro,recall_macro,f1_macro
MLP baseline,0.7633321357080531,0.6462377478720605,0.6665942732870662,0.6389879029236485
MLP tuned,0.7749833187907407,0.6497443908790335,0.6705484865280625,0.6464865515341016
Random Forest,0.8643946004208798,0.6790857030643097,0.6248292910895883,0.6058395830963118
